UTC	LocalTime	zapf(wted)	zapf(bwted)	Furby	Beam	Tstamp	Injector.snr	Injector.dm	Injector.width	Injector.prob	Heimdall.snr	Heimdall.dm	Heimdall.width	Heimdall.prob	Online.snr	Online.dm	Online.width	Online.prob	Offline.snr	Offline.dm	Offline.width	Offline.prob	Unnamed Furby_file	Actual.dm	Actual.width	Actual.snr
2019-03-13-14:35:21	19-03-14_00:35:21	0	0	furby_6751	275	163.638164579	42.4161222809	748.623586363	6.16499796308	1.0	36.3406	746.895	5.24288	1.0	36.34059906	746.895	5.24288	0.90210412	27.72	743.641	8.789	1.0	nan	FURBY_2019-03-13-14:35:21_B275_S499877.dada	751.199	6.226	37.22	
2019-03-12-04:59:57	19-03-12_14:59:57	0	0	furby_4068	48	2842.47797422	23.5042996801	101.887569011	12.3958657091	1.0	20.8953	107.257	10.48576	1.0	20.89529991	107.257	10.48576	0.84815199	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-04:59:57_B048_S8674622.dada	103.727	13.762	21.86	
2019-03-12-06:38:05	19-03-12_16:38:05	0	0	furby_4593	318	111.847090279	10.7229448384	2095.08460433	2.51180154782	1.0	6.69844	2101.73	2.62144	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-06:38:05_B318_S342712.dada	2100.236	2.949	7.77	
2019-03-12-06:53:29	19-03-12_16:53:29	0	0	furby_4361	71	696.157160428	35.5344048143	2048.50178076	9.04385182444	1.0	25.1698	2050.92	10.48576	1.0	25.1697998	2050.92	10.48576	0.93114039	18.14	2048.75	27.343	1.0	nan	FURBY_2019-03-12-06:53:29_B071_S2125854.dada	2049.606	9.174	28.56	
2019-03-12-06:53:29	19-03-12_16:53:29	0	0	furby_5638	315	748.353433464	30.465435811	2528.32536458	12.5072923149	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-06:53:29_B315_S2285461.dada	2531.637	13.762	24.91	
2019-03-12-08:42:41	19-03-12_18:42:41	0	0	furby_4445	231	1095.10408529	32.4967597497	1368.85192514	2.34404481188	1.0	25.3726	1373.1	2.62144	1.0	25.37260056	1373.1	2.62144	0.91821864	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-08:42:41_B231_S3342895.dada	1368.484	2.949	27.54	
2019-03-12-09:34:01	19-03-12_19:34:01	0	0	furby_6380	331	80.2653860911	31.0007959759	4785.95086995	8.20595197612	1.0	25.8232	4776.98	10.48576	1.0	25.82320023	4776.98	10.48576	0.96359988	11.1	4755.285	41.015	1.0	nan	FURBY_2019-03-12-09:34:01_B331_S248107.dada	4788.158	9.174	26.32	
2019-03-12-10:45:37	19-03-12_20:45:37	0	0	furby_9204	17	332.756189813	17.6685214543	202.658594199	13.9509573963	1.0	12.8517	210.266	10.48576	1.0	12.85169983	210.266	10.48576	0.84582095	13.81	197.249	18.554	1.0	nan	FURBY_2019-03-12-10:45:37_B017_S1015624.dada	206.338	20.643	18.82	
2019-03-12-10:45:37	19-03-12_20:45:37	0	0	furby_6649	108	246.963284482	18.3353864592	4795.67256397	7.4517190825	1.0	11.0309	4815.89	10.48576	1.0	11.0309	4815.89	10.48576	0.91852473	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-10:45:37_B108_S756835.dada	4797.512	6.226	13.88	
2019-03-12-10:45:37	19-03-12_20:45:37	0	0	furby_6281	309	78.831973005	24.4406721487	3090.18112942	16.224089674	1.0	16.9666	3081.29	10.48576	1.0	16.96660042	3081.29	10.48576	0.95790886	11.9	3125.765	41.015	1.0	nan	FURBY_2019-03-12-10:45:37_B309_S242614.dada	3091.285	20.643	22.53	
2019-03-12-10:54:13	19-03-12_20:54:13	0	0	furby_4591	104	337.936133335	14.4929215709	1683.18632317	5.25434032623	1.0	9.58827	1685.7	5.24288	1.0	9.58827019	1685.7	5.24288	0.97866959	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-10:54:13_B104_S1032409.dada	1451.003	785.729	23.26	
2019-03-12-12:21:45	19-03-12_22:21:45	0	0	furby_4310	288	140.722834306	17.6674705446	4057.6217647	5.32956891792	1.0	15.483	4061.29	5.24288	1.0	15.4829998	4061.29	5.24288	0.90890661	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-12:21:45_B288_S432128.dada	4055.782	6.226	15.9	
2019-03-12-12:31:37	19-03-12_22:31:37	0	0	furby_4492	151	3.80679593863	23.5963071486	3206.64602698	13.1845551586	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-12:31:37_B151_S13732.dada	3209.958	13.762	19.06	
2019-03-12-12:38:57	19-03-12_22:38:57	0	0	furby_9275	35	296.556182381	23.0812075565	202.692974356	11.2908930043	1.0	18.7705	194.961	10.48576	1.0	18.77050018	194.961	10.48576	0.96868977	18.63	192.791	12.695	1.0	nan	FURBY_2019-03-12-12:38:57_B035_S905151.dada	200.117	13.762	19.69	
2019-03-12-12:38:57	19-03-12_22:38:57	0	0	furby_9805	167	270.685800968	19.076169827	65.6823474449	1.00420050597	1.0	11.1845	61.5674	2.62144	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-12:38:57_B167_S826110.dada	64.946	1.966	11.71	
